match_id,season,team,playing_xi
829745,2015,Chennai Super Kings,"['DR Smith', 'BB McCullum', 'SK Raina', 'MS Dhoni', 'RA Jadeja', 'F du Plessis', 'DJ Bravo', 'R Ashwin', 'MM Sharma', 'A Nehra', 'IC Pandey']"
501235,2011,Rajasthan Royals,"['SR Watson', 'R Dravid', 'J Botha', 'AL Menaria', 'LRPL Taylor', 'AM Rahane', 'A Singh', 'SK Warne', 'STR Binny', 'DH Yagnik', 'SK Trivedi']"
501235,2011,Pune Warriors,"['JD Ryder', 'MK Pandey', 'RV Uthappa', 'Yuvraj Singh', 'Harpreet Singh', 'M Manhas', 'NL McCullum', 'R Sharma', 'M Kartik', 'JE Taylor', 'AC Thomas']"
419137,2009/10,Chennai Super Kings,"['M Vijay', 'ML Hayden', 'SK Raina', 'JA Morkel', 'MS Dhoni', 'S Badrinath', 'S Anirudha', 'M Muralitharan', 'SB Jakati', 'DE Bollinger', 'S Tyagi']"
419137,2009/10,Rajasthan Royals,"['MJ Lumb', 'NV Ojha', 'YK Pathan', 'SR Watson', 'FY Fazal', 'AA Jhunjhunwala', 'AS Raut', 'S Narwal', 'SB Wagh', 'SK Warne', 'SW Tait']"
1359478,2023,Rajasthan Royals,"['NA Saini', 'YBK Jaiswal', 'JC Buttler', 'SV Samson', 'D Padikkal', 'R Parag', 'SO Hetmyer', 'R Ashwin', 'JO Holder', 'TA Boult', 'KM Asif', 'YS Chahal']"
1359478,2023,Sunrisers Hyderabad,"['Fazalhaq Farooqi', 'Abhishek Sharma', 'MA Agarwal', 'RA Tripathi', 'HC Brook', 'Washington Sundar', 'GD Phillips', 'Abdul Samad', 'AU Rashid', 'B Kumar', 'Umran Malik', 'T Natarajan']"
1254082,2021,Kolkata Knight Riders,"['N Rana', 'Shubman Gill', 'RA Tripathi', 'EJG Morgan', 'SP Narine', 'AD Russell', 'KD Karthik', 'PJ Cummins', 'Shivam Mavi', 'CV Varun', 'M Prasidh Krishna']"
1254082,2021,Delhi Capitals,"['PP Shaw', 'S Dhawan', 'RR Pant', 'MP Stoinis', 'SO Hetmyer', 'SPD Smith', 'Lalit Yadav', 'AR Patel', 'K Rabada', 'Avesh Khan', 'I Sharma']"
1136612,2018,Delhi Daredevils,"['PP Shaw', 'SS Iyer', 'RR Pant', 'GJ Maxwell', 'V Shankar', 'Abhishek Sharma', 'HV Patel', 'A Mishra', 'S Lamichhane', 'TA Boult', 'Avesh Khan']"
1136612,2018,Chennai Super Kings,"['SR Watson', 'AT Rayudu', 'SK Raina', 'MS Dhoni', 'SW Billings', 'RA Jadeja', 'DJ Bravo', 'DL Chahar', 'Harbhajan Singh', 'SN Thakur', 'L Ngidi']"
1359497,2023,Gujarat Titans,"['Noor Ahmad', 'WP Saha', 'Shubman Gill', 'B Sai Sudharsan', 'HH Pandya', 'DA Miller', 'A Manohar', 'R Tewatia', 'Rashid Khan', 'AS Joseph', 'Mohammed Shami', 'MM Sharma']"
1359497,2023,Rajasthan Royals,"['YS Chahal', 'YBK Jaiswal', 'JC Buttler', 'D Padikkal', 'SV Samson', 'R Parag', 'SO Hetmyer', 'Dhruv Jurel', 'R Ashwin', 'TA Boult', 'Sandeep Sharma', 'A Zampa']"
548348,2012,Deccan Chargers,"['PA Patel', 'S Dhawan', 'CL White', 'KC Sangakkara', 'JP Duminy', 'BB Samantray', 'Ankit Sharma', 'A Ashish Reddy', 'A Mishra', 'DW Steyn', 'V Pratap Singh']"
548348,2012,Pune Warriors,"['MK Pandey', 'MJ Clarke', 'SC Ganguly', 'SPD Smith', 'RV Uthappa', 'M Manhas', 'MN Samuels', 'WD Parnell', 'M Kartik', 'B Kumar', 'A Nehra']"
598050,2013,Mumbai Indians,"['DR Smith', 'SR Tendulkar', 'KD Karthik', 'RG Sharma', 'KA Pollard', 'AT Rayudu', 'Harbhajan Singh', 'MG Johnson', 'SL Malinga', 'PP Ojha', 'AN Ahmed']"
598050,2013,Kolkata Knight Riders,"['MS Bisla', 'G Gambhir', 'JH Kallis', 'YK Pathan', 'EJG Morgan', 'DB Das', 'R McLaren', 'R Bhatia', 'Iqbal Abdulla', 'SP Narine', 'L Balaji']"
419160,2009/10,Delhi Daredevils,"['DA Warner', 'V Sehwag', 'TM Dilshan', 'G Gambhir', 'M Manhas', 'PD Collingwood', 'KD Karthik', 'A Mishra', 'A Nehra', 'DP Nannes', 'UT Yadav']"
419160,2009/10,Deccan Chargers,"['AC Gilchrist', 'MD Mishra', 'TL Suman', 'RG Sharma', 'A Symonds', 'MR Marsh', 'B Sumanth', 'WPUJC Vaas', 'R Sharma', 'PP Ojha', 'Harmeet Singh']"
336018,2007/08,Mumbai Indians,"['ST Jayasuriya', 'SR Tendulkar', 'RV Uthappa', 'DJ Thornely', 'DJ Bravo', 'AM Nayar', 'SM Pollock', 'YV Takawale', 'RR Raje', 'A Nehra', 'DS Kulkarni']"
336018,2007/08,Chennai Super Kings,"['S Vidyut', 'SP Fleming', 'SK Raina', 'S Badrinath', 'CK Kapugedera', 'MS Dhoni', 'JA Morkel', 'Joginder Sharma', 'MS Gony', 'L Balaji', 'M Muralitharan']"
1082600,2017,Mumbai Indians,"['PA Patel', 'JC Buttler', 'RG Sharma', 'N Rana', 'KA Pollard', 'KH Pandya', 'HH Pandya', 'Harbhajan Singh', 'MJ McClenaghan', 'SL Malinga', 'JJ Bumrah']"
1082600,2017,Sunrisers Hyderabad,"['S Dhawan', 'DA Warner', 'DJ Hooda', 'Yuvraj Singh', 'BCJ Cutting', 'NV Ojha', 'V Shankar', 'Rashid Khan', 'B Kumar', 'A Nehra', 'Mustafizur Rahman']"
501262,2011,Pune Warriors,"['JD Ryder', 'MK Pandey', 'CJ Ferguson', 'SC Ganguly', 'RV Uthappa', 'Yuvraj Singh', 'S Rana', 'WD Parnell', 'AC Thomas', 'R Sharma', 'B Kumar']"
501262,2011,Kolkata Knight Riders,"['G Gambhir', 'SP Goswami', 'MK Tiwary', 'YK Pathan', 'R Bhatia', 'JH Kallis', 'RN ten Doeschate', 'Shakib Al Hasan', 'B Lee', 'L Balaji', 'Iqbal Abdulla']"
1136604,2018,Kolkata Knight Riders,"['CA Lynn', 'SP Narine', 'RV Uthappa', 'AD Russell', 'KD Karthik', 'N Rana', 'Shubman Gill', 'JPR Scantlebury-Searles', 'PP Chawla', 'Kuldeep Yadav', 'M Prasidh Krishna']"
1136604,2018,Kings XI Punjab,"['KL Rahul', 'CH Gayle', 'MA Agarwal', 'KK Nair', 'AJ Finch', 'AR Patel', 'R Ashwin', 'AJ Tye', 'BB Sran', 'MM Sharma', 'Mujeeb Ur Rahman']"
1370353,2023,Gujarat Titans,"['WP Saha', 'Shubman Gill', 'B Sai Sudharsan', 'HH Pandya', 'Rashid Khan', 'V Shankar', 'DA Miller', 'R Tewatia', 'MM Sharma', 'Noor Ahmad', 'Mohammed Shami', 'J Little']"
